text,label
"Invest with guaranteed 40% monthly returns, zero risk! Limited spots, send funds now before the round closes.",1
"Our token sale will 10x in one week. Team is anonymous but trusted. Buy now or miss out forever.",1
"Join our AI trading bot that never loses. Just deposit and relax while we send you daily profits.",1
"We run a registered software startup offering B2B analytics for SMEs. Funds will be used for hiring and product development.",0
"Our platform helps local retailers digitize their inventory and sell online. We have 50+ paying customers already.",0
"Double your money in 30 days, guaranteed. No experience and no product required, just invest and watch it grow.",1
"This mining investment opportunity pays fixed 25% per week. Withdraw any time, risk-free income.",1
"We are building a logistics management app for small trucking companies. MVP is live and 3 pilots are running.",0
"Secure blockchain savings account with 3%â€“5% variable annual yield based on market conditions and staking period.",0
"Earn passive income without doing anything. Our secret trading algorithm ensures constant profit for all investors.",1
"Our cafe franchise is raising funds to open 3 new branches. Existing store financials and audited statements are attached.",0
"ICO pre-sale: no whitepaper yet, but early investors get 100x potential. Team reveal after launch.",1
"We provide HR management software on subscription. Churn is below 3%, and we are expanding to two new markets this year.",0
"Guaranteed daily payouts from our DeFi pool, no downside. Smart contract cannot fail and your deposit is always safe.",1
"We are upgrading our food delivery app infrastructure to support 10k daily orders. Funds cover servers, drivers, and marketing.",0
"Send SOL to this wallet and receive our token airdrop with 300% bonus, no contract details needed.",1
"Our edtech platform offers recorded and live courses for high school students. We charge a monthly fee and have 1,000 active users.",0
"Get life-changing profits from crypto arbitrage with zero knowledge required. We handle everything for you.",1
"We are raising seed funding to expand our existing SaaS tool which automates invoice processing for small businesses.",0
"Our NFT staking scheme prints yield forever. Numbers always go up, no risk of loss.",1
"Invest in our crypto fund and double your money in just 30 days with zero risk!",1
"Join our exclusive Ponzi scheme and earn 10% daily returns on your investment!",1
"Limited time offer: Get 500% returns guaranteed on all Bitcoin investments this month!",1
"Revolutionary new token - early investors will see 1000x gains, don't miss out!",1
"Our AI trading bot guarantees 15% weekly profits with no losses ever!",1
"Send us your crypto and we'll multiply it 10x through our secret trading algorithm!",1
"Risk-free investment opportunity: 300% annual returns backed by blockchain technology!",1
"Join our pyramid network and recruit 5 friends to earn passive income forever!",1
"Exclusive ICO offering 50,000% returns in 6 months - invest before it's too late!",1
"Government-backed crypto scheme guarantees your principal plus 200% interest!",1
"We use advanced quantum computing to predict markets - 100% success rate guaranteed!",1
"Turn $100 into $10,000 in just one week with our proven forex strategy!",1
"Celebrity-endorsed token presale - guaranteed moon shot, can't lose money!",1
"Bank-level security with 25% monthly compound interest on all deposits!",1
"Our DeFi platform has never had a losing trade - zero risk, maximum rewards!",1
"Revolutionary mining operation pays 5% daily dividends to all token holders!",1
"Invest in our offshore fund and avoid taxes while earning 400% annually!",1
"Limited spots available: Join our millionaire's circle for just $5000 and retire in 6 months!",1
"Our proprietary algorithm beats the market 100% of the time - guaranteed profits!",1
"Get in on the ground floor: This new altcoin will be the next Bitcoin. invest now or regret forever!",1
"Cloud-based inventory management SaaS helping small retailers track stock in real-time across multiple locations.",0
"AI-powered customer service platform that automates ticket routing and provides intelligent response suggestions.",0
"Mobile app connecting local farmers directly with restaurants to reduce food waste and supply chain costs.",0
"B2B logistics platform optimizing last-mile delivery routes using machine learning algorithms.",0
"Fintech solution providing micro-loans to underbanked populations using alternative credit scoring.",0
"Educational technology platform offering personalized learning paths for K-12 students.",0
"Healthcare SaaS streamlining appointment scheduling and patient records management for small clinics.",0
"E-commerce platform specializing in sustainable and ethically-sourced fashion from independent designers.",0
"Project management tool designed specifically for remote teams with integrated time tracking.",0
"Cybersecurity service providing real-time threat detection for small and medium businesses.",0
"Subscription-based meal kit delivery focusing on dietary restrictions and health-conscious consumers.",0
"AI-driven recruitment platform matching job seekers with companies based on skills and culture fit.",0
"Smart home IoT device that optimizes energy consumption and reduces utility bills.",0
"Digital payment gateway for emerging markets with low transaction fees and mobile-first design.",0
"Virtual event platform with interactive features for conferences, webinars, and networking.",0
"Property management software helping landlords automate rent collection and maintenance requests.",0
"Language learning app using speech recognition and AI to provide personalized conversation practice.",0
"Sustainable packaging company producing biodegradable alternatives for e-commerce businesses.",0
"Telemedicine platform connecting patients with licensed healthcare providers for virtual consultations.",0
"Data analytics dashboard for small businesses to track KPIs and generate automated reports.",0